House_Price,House_Title,Post_Date,House_Link,House_Long,House_Lat
323900.0,"Gorgeous Bungalow, 2 Cypress Point, Breezy Bend.","Mon, 10 Jun 2019 13:46:52 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/gorgeous-bungalow-2-cypress-point-breezy-bend/1440027798,-97.3775814,49.8591857
299998.0,Marvellous In Morris House for Sale,"Mon, 10 Jun 2019 14:31:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/marvellous-in-morris-house-for-sale/1440038259,-97.36468839999999,49.3544829
285000.0,Fabulous Westwood Starter - House for sale,"Mon, 10 Jun 2019 14:39:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/fabulous-westwood-starter-house-for-sale/1440040123,-97.30292639999999,49.8796638
299998.0,"DUPLEX-LARGE, U of W, Portage Av, Broadway Av, College,","Mon, 10 Jun 2019 14:37:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/duplex-large-u-of-w-portage-av-broadway-av-college/1440039680,-97.15423679999999,49.8875399
250000.0,"House for sale in Altona, MB - 130 4th Ave SW","Mon, 10 Jun 2019 14:51:23 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/house-for-sale-in-altona-mb-130-4th-ave-sw/1427773960,-96.88233509999999,49.497042
334900.0,Absolutely Gorgeous custom build 4 bdrm Family Home!,"Mon, 10 Jun 2019 14:50:44 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/absolutely-gorgeous-custom-build-4-bdrm-family-home/1440042839,-97.043481,49.84995499999999
270000.0,Money maker rental property for sale by owner,"Mon, 10 Jun 2019 15:21:38 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/money-maker-rental-property-for-sale-by-owner/1440050100,-97.1444961,49.9145877
524900.0,"So many updates done, all you have to do is move in!","Mon, 10 Jun 2019 15:36:25 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/so-many-updates-done-all-you-have-to-do-is-move-in/1440053358,-97.1996487,49.8398855
399900.0,Beautiful Southdale home in parklike setting,"Mon, 10 Jun 2019 16:40:36 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/beautiful-southdale-home-in-parklike-setting/1440067175,-97.05283589999999,49.8462396
374900.0,Spacious 5 bedroom 3 full bathrooms for sale available now,"Mon, 10 Jun 2019 16:52:07 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/spacious-5-bedroom-3-full-bathrooms-for-sale-available-now/1440069575,-97.19048,49.557503
314900.0,WANTED: Vacant LOTS  or TARE DOWN I will BUY for CASH.&#8203;,"Mon, 10 Jun 2019 17:35:40 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/wanted:-vacant-lots-or-tare-down-i-will-buy-for-cash/1440078484,-97.193276,49.8931318
213000.0,"71 Villeneuve BLVD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:09:59 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/71-villeneuve-blvd-winnipeg-manitoba/1433489400,-97.1569402,49.7664413
279900.0,"253 Fortier AVE Winnipeg, Manitoba","Mon, 10 Jun 2019 19:09:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/253-fortier-ave-winnipeg-manitoba/1433489265,-97.07584899999999,49.95044499999999
549000.0,"57 SHERRY LANE Lac Du Bonnet RM, Manitoba","Mon, 10 Jun 2019 19:09:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/57-sherry-lane-lac-du-bonnet-rm-manitoba/1433489121,-95.7992656,50.3737473
339900.0,"50 Cameron RD Pinawa, Manitoba","Mon, 10 Jun 2019 19:09:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/50-cameron-rd-pinawa-manitoba/1433489122,-95.88989079999999,50.1496884
289000.0,"195 McKenzie AVE Steinbach, Manitoba","Mon, 10 Jun 2019 19:13:18 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/195-mckenzie-ave-steinbach-manitoba/1420345432,-96.6869438,49.5177635
219900.0,"32 Woodlark PL Winnipeg, Manitoba","Mon, 10 Jun 2019 19:12:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/32-woodlark-pl-winnipeg-manitoba/1433492411,-97.133821,49.954631
619900.0,"64 High Plains RD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:55 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/64-high-plains-rd-winnipeg-manitoba/1433492240,-97.0289354,49.8383206
319900.0,"71068 Edgewood RD Springfield Rm, Manitoba","Mon, 10 Jun 2019 19:11:51 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/71068-edgewood-rd-springfield-rm-manitoba/1433492131,-96.72772049999999,50.0410032
324900.0,"94 Creekside DR Steinbach, Manitoba","Mon, 10 Jun 2019 19:11:50 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/94-creekside-dr-steinbach-manitoba/1433492110,-96.656728,49.5232363
269900.0,"471 Ritchot ST Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:49 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/471-ritchot-st-winnipeg-manitoba/1433492102,-97.1160874,49.887429
421300.0,"96 Falcon Creek BAY Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/96-falcon-creek-bay-winnipeg-manitoba/1433492069,-97.1969362,49.78201809999999
519888.0,"39 Skyline DR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/39-skyline-dr-winnipeg-manitoba/1433492076,-97.20408719999999,49.7792594
486000.0,"95 Falcon Creek BAY Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/95-falcon-creek-bay-winnipeg-manitoba/1433492068,-97.1969362,49.78201809999999
426900.0,"227 John Neufeld CR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/227-john-neufeld-cr-winnipeg-manitoba/1433492078,-97.0436323,49.9046514
420900.0,"19 Tyson TRL Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/19-tyson-trl-winnipeg-manitoba/1433492071,-97.03948129999999,49.90310909999999
339900.0,"99 Bill Dance DR Winnipeg, Manitoba","Mon, 10 Jun 2019 19:11:48 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/99-bill-dance-dr-winnipeg-manitoba/1433492077,-97.0564929,49.90516299999999
399900.0,"Homes for Sale in La Salle, Manitoba $399,900","Mon, 10 Jun 2019 19:17:58 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-la-salle-manitoba-399-900/1383791190,-97.2562978372,49.6952614534
354900.0,13 Hawthorne Way,"Mon, 10 Jun 2019 19:17:24 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/13-hawthorne-way/1383788904,-97.1576698333,49.767242833299996
409900.0,"Homes for Sale in La Salle, Manitoba $409,900","Mon, 10 Jun 2019 19:17:05 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-la-salle-manitoba-409-900/1383788519,-97.2562978372,49.6952614534
349900.0,"22 Countryside DR Tyndall, Manitoba","Mon, 10 Jun 2019 19:16:12 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/22-countryside-dr-tyndall-manitoba/1420347439,-96.66097099999999,50.08398400000001
299900.0,"7 Scout RD St Malo, Manitoba","Mon, 10 Jun 2019 19:16:11 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/7-scout-rd-st-malo-manitoba/1420347421,-96.95361559999999,49.3140936
569900.0,"39098 Mile 78 North RD Brokenhead Rm, Manitoba","Mon, 10 Jun 2019 19:16:09 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/39098-mile-78-north-rd-brokenhead-rm-manitoba/1420347398,-96.79460759999999,50.15166
699900.0,"27 Bridlewood RD Winnipeg, Manitoba","Mon, 10 Jun 2019 19:16:02 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/27-bridlewood-rd-winnipeg-manitoba/1420347257,-97.18323219999999,49.80733559999999
388800.0,"Homes for Sale in Sunset Beach, Grand Marais, Manitoba $388,800","Mon, 10 Jun 2019 19:15:52 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/homes-for-sale-in-sunset-beach-grand-marais-manitoba-388-800/1433493931,-96.636209,50.554481
284900.0,We Buy Inherited  Houses,"Mon, 10 Jun 2019 19:48:17 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/we-buy-inherited-houses/1440107170,-97.13837439999999,49.895136
234900.0,Retreat To 80 Acres Of Serene Country!,"Mon, 10 Jun 2019 21:40:04 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/retreat-to-80-acres-of-serene-country/1440126257,-96.82607,49.1830489
298900.0,Family Friendly Home With A Large Rec Room!,"Mon, 10 Jun 2019 21:50:21 CDT",https://www.kijiji.ca/v-house-for-sale/winnipeg/family-friendly-home-with-a-large-rec-room/1440127798,-96.68887699999999,49.5238427
